Vocabularies loaded: 66513
疫情 Freq = 5302  TF = 0.0064545503240666345  IDF = 3.3204720100745324  TF-IDF = 0.021432153688680764
能力 Freq = 1352  TF = 0.0016458981588340419  IDF = 4.802864777155141  TF-IDF = 0.007905026293848517
经济 Freq = 1297  TF = 0.0015789422426092843  IDF = 4.969478565207042  TF-IDF = 0.007846519630346774
封 Freq = 1282  TF = 0.0015606815381843503  IDF = 4.926468210667886  TF-IDF = 0.00768864798484146
在家 Freq = 1314  TF = 0.0015996377076242093  IDF = 4.7456693755735975  TF-IDF = 0.007591351681084962
非典 Freq = 1226  TF = 0.0014925082416645972  IDF = 5.0574376042407385  TF-IDF = 0.007548267306033757
世界 Freq = 1228  TF = 0.0014949430022545883  IDF = 4.975444232043431  TF-IDF = 0.007438005537801281
发展 Freq = 1222  TF = 0.0014876387204846148  IDF = 4.90733404371117  TF-IDF = 0.007300340137777076
家里 Freq = 1210  TF = 0.0014730301569446677  IDF = 4.95368967940291  TF-IDF = 0.0072969342859060485
传染 Freq = 1161  TF = 0.0014133785224898835  IDF = 5.128776385961001  TF-IDF = 0.007248902390570564
加油 Freq = 1291  TF = 0.0015716379608393108  IDF = 4.433630967489422  TF-IDF = 0.006968062732859095
动物 Freq = 1002  TF = 0.0012198150555855843  IDF = 5.583506415908326  TF-IDF = 0.006810845189083681
隔离 Freq = 1061  TF = 0.0012916404929903243  IDF = 5.187577739577187  TF-IDF = 0.00670048546897311
日 Freq = 908  TF = 0.0011053813078559986  IDF = 5.999556688160239  TF-IDF = 0.006631797818514769
国人 Freq = 1112  TF = 0.0013537268880350994  IDF = 4.890327618405481  TF-IDF = 0.0066201679883361505
里 Freq = 1069  TF = 0.001301379535350289  IDF = 4.975444232043431  TF-IDF = 0.006474941302857955
戴 Freq = 997  TF = 0.0012137281541106063  IDF = 5.323005276820055  TF-IDF = 0.006460681368955823
卫生 Freq = 971  TF = 0.0011820762664407208  IDF = 5.4529223060981815  TF-IDF = 0.006445770040783864
冠 Freq = 995  TF = 0.0012112933935206152  IDF = 5.275617774290272  TF-IDF = 0.006390320956737739
第一 Freq = 1060  TF = 0.0012904231126953287  IDF = 4.85323829967026  TF-IDF = 0.006262730873312682
朋友 Freq = 965  TF = 0.0011747719846707473  IDF = 5.3255429996219545  TF-IDF = 0.0062562987191152886
重要 Freq = 1038  TF = 0.0012636407462054257  IDF = 4.943908658610324  TF-IDF = 0.006247324426537815
人类 Freq = 908  TF = 0.0011053813078559986  IDF = 5.636086331029693  TF-IDF = 0.006230024479782919
每天 Freq = 966  TF = 0.0011759893649657429  IDF = 5.282997304655869  TF-IDF = 0.006212748645417987
小区 Freq = 825  TF = 0.0010043387433713643  IDF = 6.00768456904364  TF-IDF = 0.006033750370644826
城 Freq = 940  TF = 0.0011443374772958574  IDF = 5.2707189748774335  TF-IDF = 0.00603148125524665
出门 Freq = 923  TF = 0.0011236420122809323  IDF = 5.3078719732948985  TF-IDF = 0.0059641479450026425
城市 Freq = 914  TF = 0.0011126855896259722  IDF = 5.34086379890571  TF-IDF = 0.00594270218519741
确诊 Freq = 888  TF = 0.0010810337019560867  IDF = 5.450150556848128  TF-IDF = 0.00589179643268756
事情 Freq = 944  TF = 0.0011492069984758398  IDF = 5.117738114508553  TF-IDF = 0.005881340457559778
部分 Freq = 959  TF = 0.0011674677029007738  IDF = 5.0344209515157665  TF-IDF = 0.00587752386370164
影响 Freq = 912  TF = 0.0011102508290359808  IDF = 5.290414776218353  TF-IDF = 0.005873687391240629
严重 Freq = 898  TF = 0.0010932075049060427  IDF = 5.082972696347876  TF-IDF = 0.005556743898880002
灾难 Freq = 821  TF = 0.0009994692221913818  IDF = 5.532775613787397  TF-IDF = 0.005529838939271535
野生 Freq = 760  TF = 0.0009252090241966507  IDF = 5.897861291090888  TF-IDF = 0.005456754489977399
其实 Freq = 858  TF = 0.0010445122931062188  IDF = 5.215546855435855  TF-IDF = 0.005447702805774234
今天 Freq = 847  TF = 0.0010311211098612673  IDF = 5.258544260931331  TF-IDF = 0.005422195994586112
传播 Freq = 777  TF = 0.0009459044892115758  IDF = 5.684127230571619  TF-IDF = 0.005376641464647456
冠状 Freq = 710  TF = 0.0008643400094468711  IDF = 6.153362024239273  TF-IDF = 0.0053185969901609915
医护 Freq = 804  TF = 0.0009787737571764568  IDF = 5.4308959997681825  TF-IDF = 0.005315618482527693
方面 Freq = 790  TF = 0.0009617304330465185  IDF = 5.524005404159665  TF-IDF = 0.005312604109493782
地方 Freq = 846  TF = 0.0010299037295662717  IDF = 5.1466151917986895  TF-IDF = 0.005300518180675904
生动 Freq = 738  TF = 0.0008984266577067477  IDF = 5.897861291090888  TF-IDF = 0.00529879580737279
发生 Freq = 821  TF = 0.0009994692221913818  IDF = 5.285465560246619  TF-IDF = 0.005282660152419025
意识 Freq = 808  TF = 0.0009836432783564392  IDF = 5.28793804592614  TF-IDF = 0.005201444715240531
物资 Freq = 768  TF = 0.0009349480665566155  IDF = 5.5504776155208555  TF-IDF = 0.0051894083150969975
野生动物 Freq = 710  TF = 0.0008643400094468711  IDF = 6.003614904734592  TF-IDF = 0.0051891645634736736
。、 Freq = 576  TF = 0.0007012110499174616  IDF = 7.387827277876297  TF-IDF = 0.005180426122128501
企业 Freq = 700  TF = 0.0008521662064969152  IDF = 6.065899182988934  TF-IDF = 0.0051691542957604175
冠状病毒 Freq = 677  TF = 0.0008241664597120165  IDF = 6.270718974877433  TF-IDF = 0.005168116257373699
社区 Freq = 690  TF = 0.0008399924035469592  IDF = 6.10896790488082  TF-IDF = 0.005131486633612072
存在 Freq = 719  TF = 0.0008752964321018314  IDF = 5.806405134860389  TF-IDF = 0.005082325697881052
东西 Freq = 778  TF = 0.0009471218695065714  IDF = 5.253702997861832  TF-IDF = 0.004975897005167177
信息 Freq = 710  TF = 0.0008643400094468711  IDF = 5.733823132725489  TF-IDF = 0.004955972740706638
健康 Freq = 743  TF = 0.0009045135591817257  IDF = 5.403827756570013  TF-IDF = 0.004887835477300142
最后 Freq = 772  TF = 0.0009398175877365979  IDF = 5.135440116242012  TF-IDF = 0.004826376942012321
之后 Freq = 729  TF = 0.0008874702350517874  IDF = 5.411895037838128  TF-IDF = 0.004802895761305805
非常 Freq = 720  TF = 0.000876513812396827  IDF = 5.466861497056056  TF-IDF = 0.004791779612630029
野味 Freq = 707  TF = 0.0008606878685618843  IDF = 5.532775613787397  TF-IDF = 0.004761992850261846
事件 Freq = 693  TF = 0.000843644544431946  IDF = 5.639239764068567  TF-IDF = 0.0047575138617001415
病例 Freq = 640  TF = 0.0007791233887971796  IDF = 6.0616621901024645  TF-IDF = 0.004722782787296366
之前 Freq = 726  TF = 0.0008838180941668006  IDF = 5.34086379890571  TF-IDF = 0.004720352063953303
不到 Freq = 742  TF = 0.00090329617888673  IDF = 5.2202615493079065  TF-IDF = 0.004715442310279153
超市 Freq = 631  TF = 0.0007681669661422192  IDF = 6.130994211210819  TF-IDF = 0.0047096272226613235
以后 Freq = 738  TF = 0.0008984266577067477  IDF = 5.23449878696468  TF-IDF = 0.004702813249942703
回来 Freq = 675  TF = 0.0008217316991220254  IDF = 5.717066904399911  TF-IDF = 0.004697895101346837
管理 Freq = 656  TF = 0.0007986014735171091  IDF = 5.8605802750114275  TF-IDF = 0.004680268043289431
家人 Freq = 702  TF = 0.0008546009670869064  IDF = 5.450150556848128  TF-IDF = 0.004657703936651652
基本 Freq = 706  TF = 0.0008594704882668887  IDF = 5.382532978206784  TF-IDF = 0.004626128246892016
相信 Freq = 695  TF = 0.0008460793050219372  IDF = 5.444622982879695  TF-IDF = 0.004606582829461319
更多 Freq = 679  TF = 0.0008266012203020077  IDF = 5.48660543235447  TF-IDF = 0.00453523474569983
产业 Freq = 630  TF = 0.0007669495858472237  IDF = 5.913047694905564  TF-IDF = 0.004535009480702703
死亡 Freq = 638  TF = 0.0007766886282071884  IDF = 5.827831692671716  TF-IDF = 0.004526410602803572
市场 Freq = 628  TF = 0.0007645148252572324  IDF = 5.913047694905564  TF-IDF = 0.004520612625208409
过去 Freq = 694  TF = 0.0008448619247269416  IDF = 5.338299007046407  TF-IDF = 0.004510125573861149
孩子 Freq = 617  TF = 0.0007511236420122809  IDF = 5.999556688160239  TF-IDF = 0.004506408870070058
只能 Freq = 680  TF = 0.0008278186005970033  IDF = 5.422722068322482  TF-IDF = 0.0044890301940252045
教育 Freq = 608  TF = 0.0007401672193573206  IDF = 5.96749547892794  TF-IDF = 0.004416944535165476
爆发 Freq = 631  TF = 0.0007681669661422192  IDF = 5.733823132725489  TF-IDF = 0.004404533520261814
患者 Freq = 596  TF = 0.0007255586558173735  IDF = 6.070148655990292  TF-IDF = 0.0044042488994519525
