Vocabularies loaded: 15768
确诊 Freq = 727  TF = 0.010591028946870038  IDF = 3.3673522377773786  TF-IDF = 0.035663725024607816
累计 Freq = 100  TF = 0.0014568127849890011  IDF = 6.2597432636907815  TF-IDF = 0.009119274017293507
之前 Freq = 123  TF = 0.0017918797255364713  IDF = 4.937815168803419  TF-IDF = 0.008847970889425296
希望 Freq = 122  TF = 0.0017773115976865814  IDF = 4.966961514462936  TF-IDF = 0.008827838304917882
国家 Freq = 119  TF = 0.0017336072141369112  IDF = 5.042512547470112  TF-IDF = 0.00874173612967008
传染 Freq = 115  TF = 0.0016753347027373513  IDF = 5.20663192723122  TF-IDF = 0.008722851152070717
传播 Freq = 103  TF = 0.0015005171685386711  IDF = 5.800311645053484  TF-IDF = 0.008703467206277536
社区 Freq = 96  TF = 0.001398540273589441  IDF = 6.122239739940847  TF-IDF = 0.00856219884087702
今天 Freq = 116  TF = 0.0016899028305872412  IDF = 4.952314738498535  TF-IDF = 0.008368930694547586
城市 Freq = 101  TF = 0.001471380912838891  IDF = 5.650934021015257  TF-IDF = 0.008314676458233774
图 Freq = 82  TF = 0.0011945864836909808  IDF = 6.826783856414676  TF-IDF = 0.008155183721952761
统计 Freq = 103  TF = 0.0015005171685386711  IDF = 5.411746357135831  TF-IDF = 0.008120418320658926
拐点 Freq = 94  TF = 0.001369404017889661  IDF = 5.826783856414676  TF-IDF = 0.007979221224348871
冠状 Freq = 81  TF = 0.0011800183558410909  IDF = 6.674780762969625  TF-IDF = 0.007876363821519159
新型 Freq = 80  TF = 0.001165450227991201  IDF = 6.627475048191269  TF-IDF = 0.00772399230592051
, Freq = 69  TF = 0.0010052008216424107  IDF = 7.674780762969625  TF-IDF = 0.0077146959288624355
增加 Freq = 96  TF = 0.001398540273589441  IDF = 5.515582168120371  TF-IDF = 0.007713763794408106
控制 Freq = 96  TF = 0.001398540273589441  IDF = 5.515582168120371  TF-IDF = 0.007713763794408106
小区 Freq = 92  TF = 0.001340267762189881  IDF = 5.723690363450572  TF-IDF = 0.007671277674889685
标准 Freq = 88  TF = 0.001281995250790321  IDF = 5.966961514462936  TF-IDF = 0.007649616323190105
万 Freq = 89  TF = 0.001296563378640211  IDF = 5.8537509040149445  TF-IDF = 0.007589759049827806
减少 Freq = 86  TF = 0.001252858995090541  IDF = 5.909246016606648  TF-IDF = 0.007403452026108587
冠状病毒 Freq = 72  TF = 0.0010489052051920807  IDF = 6.723690363450571  TF-IDF = 0.007052513820323137
消息 Freq = 87  TF = 0.0012674271229404308  IDF = 5.55930354554969  TF-IDF = 0.0070460120982885795
捂 Freq = 84  TF = 0.0012237227393907609  IDF = 5.627475048191269  TF-IDF = 0.006886469181825774
高 Freq = 83  TF = 0.001209154611540871  IDF = 5.627475048191269  TF-IDF = 0.006804487405851658
部分 Freq = 85  TF = 0.001238290867240651  IDF = 5.431924239073462  TF-IDF = 0.00672630217678779
增长 Freq = 75  TF = 0.0010926095887417507  IDF = 6.155406603876046  TF-IDF = 0.006725456277999263
医护 Freq = 79  TF = 0.0011508821001413108  IDF = 5.6990283092163025  TF-IDF = 0.006558909669275642
省外 Freq = 65  TF = 0.0009469283102428507  IDF = 6.723690363450571  TF-IDF = 0.006366852754458388
资源 Freq = 72  TF = 0.0010489052051920807  IDF = 6.058109402521132  TF-IDF = 0.006354382485927502
密切 Freq = 61  TF = 0.0008886557988432907  IDF = 7.122239739940847  TF-IDF = 0.006329219645650564
分析 Freq = 69  TF = 0.0010052008216424107  IDF = 6.296269139715896  TF-IDF = 0.006329014912524173
在家 Freq = 79  TF = 0.0011508821001413108  IDF = 5.494208517327805  TF-IDF = 0.006323186237036502
排查 Freq = 70  TF = 0.0010197689494923006  IDF = 6.189353935799383  TF-IDF = 0.006311710961146174
官方 Freq = 76  TF = 0.0011071777165916408  IDF = 5.6990283092163025  TF-IDF = 0.006309837150189225
基本 Freq = 78  TF = 0.001136313972291421  IDF = 5.515582168120371  TF-IDF = 0.006267433082956586
每天 Freq = 75  TF = 0.0010926095887417507  IDF = 5.650934021015257  TF-IDF = 0.006174264696708248
严重 Freq = 73  TF = 0.0010634733330419708  IDF = 5.748781344413403  TF-IDF = 0.006113675657272824
地方 Freq = 75  TF = 0.0010926095887417507  IDF = 5.581671358578144  TF-IDF = 0.006098587647587675
封 Freq = 68  TF = 0.0009906326937925208  IDF = 6.155406603876046  TF-IDF = 0.0060977470253859994
防控 Freq = 68  TF = 0.0009906326937925208  IDF = 6.155406603876046  TF-IDF = 0.0060977470253859994
出院 Freq = 65  TF = 0.0009469283102428507  IDF = 6.411746357135831  TF-IDF = 0.006071464143668386
相信 Freq = 74  TF = 0.0010780414608918608  IDF = 5.627475048191269  TF-IDF = 0.0060666514220846105
研究 Freq = 58  TF = 0.0008449514152936206  IDF = 7.122239739940847  TF-IDF = 0.006017946548323487
/ Freq = 56  TF = 0.0008158151595938406  IDF = 7.189353935799383  TF-IDF = 0.005865183928510781
）。 Freq = 57  TF = 0.0008303832874437306  IDF = 6.996708857856987  TF-IDF = 0.005809950102673955
措施 Freq = 68  TF = 0.0009906326937925208  IDF = 5.8537509040149445  TF-IDF = 0.005798917026834729
密切接触 Freq = 55  TF = 0.0008012470317439506  IDF = 7.189353935799383  TF-IDF = 0.005760448501215945
一天 Freq = 66  TF = 0.0009614964380927407  IDF = 5.966961514462936  TF-IDF = 0.0057372122423925784
只能 Freq = 67  TF = 0.0009760645659426307  IDF = 5.7743164365205395  TF-IDF = 0.005636105666227818
收治 Freq = 63  TF = 0.0009177920545430706  IDF = 6.08981826224847  TF-IDF = 0.005589186814702936
潜伏 Freq = 61  TF = 0.0008886557988432907  IDF = 6.2597432636907815  TF-IDF = 0.005562757150549039
数字 Freq = 64  TF = 0.0009323601823929607  IDF = 5.93781516880342  TF-IDF = 0.005536182433801245
感染者 Freq = 62  TF = 0.0009032239266931806  IDF = 6.122239739940847  TF-IDF = 0.005529753418066409
现有 Freq = 55  TF = 0.0008012470317439506  IDF = 6.8812316404370515  TF-IDF = 0.005513566426642744
其实 Freq = 65  TF = 0.0009469283102428507  IDF = 5.800311645053484  TF-IDF = 0.005492479304932425
医护人员 Freq = 63  TF = 0.0009177920545430706  IDF = 5.966961514462936  TF-IDF = 0.00547642986773837
第一 Freq = 65  TF = 0.0009469283102428507  IDF = 5.748781344413403  TF-IDF = 0.005443683804421007
乐观 Freq = 61  TF = 0.0008886557988432907  IDF = 6.058109402521132  TF-IDF = 0.005383574050577467
直接 Freq = 62  TF = 0.0009032239266931806  IDF = 5.909246016606648  TF-IDF = 0.005337372390915493
公布 Freq = 58  TF = 0.0008449514152936206  IDF = 6.296269139715896  TF-IDF = 0.005320041520672494
人民 Freq = 61  TF = 0.0008886557988432907  IDF = 5.909246016606648  TF-IDF = 0.005251285739449114
