武汉 Freq = 526  TF = 0.010354738375526595  IDF = 4.952934862395075  TF-IDF = 0.05128634469112582
红十字会 Freq = 108  TF = 0.0021260679554313162  IDF = 7.1588391609429545  TF-IDF = 0.015220178538167626
❌ Freq = 77  TF = 0.0015158077089649198  IDF = 10.033308278859096  TF-IDF = 0.01520856603551617
上海 Freq = 95  TF = 0.0018701523682034726  IDF = 8.09470882352324  TF-IDF = 0.015138338876229533
地级 Freq = 78  TF = 0.0015354935233670617  IDF = 9.810915857522648  TF-IDF = 0.015064597757525227
地级市 Freq = 77  TF = 0.0015158077089649198  IDF = 9.91783106143916  TF-IDF = 0.015033524779141211
北京 Freq = 103  TF = 0.002027638883420607  IDF = 7.351484238885351  TF-IDF = 0.014906155293617685
海南 Freq = 89  TF = 0.0017520374817906216  IDF = 8.260718774962168  TF-IDF = 0.014473088920265225
看看 Freq = 101  TF = 0.0019882672546163234  IDF = 7.260718774962168  TF-IDF = 0.014436249385235224
医护 Freq = 99  TF = 0.0019488956258120397  IDF = 7.260718774962168  TF-IDF = 0.014150383060775122
医疗 Freq = 96  TF = 0.0018898381826056145  IDF = 7.370343266136667  TF-IDF = 0.013928756123255247
城 Freq = 84  TF = 0.0016536084097799127  IDF = 8.225953356801492  TF-IDF = 0.013602505649264249
爱 Freq = 96  TF = 0.0018898381826056145  IDF = 7.048415171249305  TF-IDF = 0.013320364117483626
一线 Freq = 94  TF = 0.0018504665538013308  IDF = 7.192006024878154  TF-IDF = 0.013308566603774686
延迟 Freq = 77  TF = 0.0015158077089649198  IDF = 8.760289784452679  TF-IDF = 0.013278914788040008
今天 Freq = 90  TF = 0.0017717232961927635  IDF = 7.192006024878154  TF-IDF = 0.012742244620635336
机场 Freq = 65  TF = 0.001279577936139218  IDF = 9.711380183971734  TF-IDF = 0.012426467812869851
医护人员 Freq = 83  TF = 0.0016339225953777708  IDF = 7.4685236600755704  TF-IDF = 0.012202989562310964
停运 Freq = 63  TF = 0.0012402063073349344  IDF = 9.810915857522648  TF-IDF = 0.012167559727231915
医生 Freq = 81  TF = 0.0015945509665734872  IDF = 7.618270779580252  TF-IDF = 0.012147721035198244
戴 Freq = 82  TF = 0.001614236780975629  IDF = 7.509746322802083  TF-IDF = 0.0121225087300636
铁路 Freq = 62  TF = 0.0012205204929327926  IDF = 9.91783106143916  TF-IDF = 0.012104916055931884
空投 Freq = 63  TF = 0.0012402063073349344  IDF = 9.711380183971734  TF-IDF = 0.01204411495708924
复工 Freq = 66  TF = 0.00129926375054136  IDF = 9.225953356801492  TF-IDF = 0.011986946760677556
关注 Freq = 76  TF = 0.001496121894562778  IDF = 7.810915857522648  TF-IDF = 0.01168608223102723
河南 Freq = 76  TF = 0.001496121894562778  IDF = 7.640990856080336  TF-IDF = 0.011431853715935775
拒绝 Freq = 59  TF = 0.0011614630497263673  IDF = 9.618270779580252  TF-IDF = 0.011171266112745283
感染 Freq = 73  TF = 0.0014370644513563525  IDF = 7.687533442017366  TF-IDF = 0.011047481028136298
急 Freq = 57  TF = 0.0011220914209220836  IDF = 9.810915857522648  TF-IDF = 0.01100874451511459
内蒙 Freq = 59  TF = 0.0011614630497263673  IDF = 9.44834577813794  TF-IDF = 0.010973904502345339
迟复 Freq = 56  TF = 0.0011024056065199418  IDF = 9.91783106143916  TF-IDF = 0.010933472566648155
信阳 Freq = 63  TF = 0.0012402063073349344  IDF = 8.810915857522648  TF-IDF = 0.01092735341989698
平安 Freq = 74  TF = 0.0014567502657584943  IDF = 7.4685236600755704  TF-IDF = 0.01087977382663869
跑 Freq = 70  TF = 0.0013780070081499272  IDF = 7.760289784452679  TF-IDF = 0.01069373370825008
李 Freq = 72  TF = 0.001417378636954211  IDF = 7.530807938329913  TF-IDF = 0.010674006290794003
蒙古 Freq = 55  TF = 0.0010827197921178  IDF = 9.618270779580252  TF-IDF = 0.01041389213899984
内蒙古 Freq = 54  TF = 0.0010630339777156581  IDF = 9.711380183971734  TF-IDF = 0.010323527106076492
城市 Freq = 66  TF = 0.00129926375054136  IDF = 7.810915857522648  TF-IDF = 0.010148439832207859
国人 Freq = 67  TF = 0.0013189495649435017  IDF = 7.640990856080336  TF-IDF = 0.010078081565364433
国家 Freq = 66  TF = 0.00129926375054136  IDF = 7.711380183971733  TF-IDF = 0.010019116739677435
不到 Freq = 66  TF = 0.00129926375054136  IDF = 7.664074469193377  TF-IDF = 0.009957654139272468
市地 Freq = 40  TF = 0.0007874325760856727  IDF = 12.618270779580252  TF-IDF = 0.009936037465711447
上班 Freq = 64  TF = 0.0012598921217370762  IDF = 7.836911066055593  TF-IDF = 0.009873662510877552
严重 Freq = 65  TF = 0.001279577936139218  IDF = 7.618270779580252  TF-IDF = 0.00974817120108501
例 Freq = 60  TF = 0.001181148864128509  IDF = 8.225953356801492  TF-IDF = 0.009716075463760177
确诊 Freq = 63  TF = 0.0012402063073349344  IDF = 7.810915857522648  TF-IDF = 0.009687147112562047
快 Freq = 61  TF = 0.0012008346785306507  IDF = 7.974414589805527  TF-IDF = 0.00957595358041925
挺住 Freq = 63  TF = 0.0012402063073349344  IDF = 7.687533442017366  TF-IDF = 0.009534127462638176
慌 Freq = 52  TF = 0.0010236623489113745  IDF = 9.29634268469289  TF-IDF = 0.009516315988897796
重视 Freq = 61  TF = 0.0012008346785306507  IDF = 7.890350325017052  TF-IDF = 0.009475006296036067
江苏 Freq = 60  TF = 0.001181148864128509  IDF = 7.917831061439159  TF-IDF = 0.009352137164580289
信息 Freq = 57  TF = 0.0011220914209220836  IDF = 8.332868560718005  TF-IDF = 0.009350240323653024
捐 Freq = 57  TF = 0.0011220914209220836  IDF = 8.332868560718005  TF-IDF = 0.009350240323653024
天 Freq = 61  TF = 0.0012008346785306507  IDF = 7.7853807654155105  TF-IDF = 0.009348955208676447
地方 Freq = 60  TF = 0.001181148864128509  IDF = 7.836911066055593  TF-IDF = 0.009256558603947706
领导 Freq = 60  TF = 0.001181148864128509  IDF = 7.7853807654155105  TF-IDF = 0.009195693647878471
求求 Freq = 59  TF = 0.0011614630497263673  IDF = 7.890350325017052  TF-IDF = 0.009164350351903739
湖北省 Freq = 54  TF = 0.0010630339777156581  IDF = 8.618270779580252  TF-IDF = 0.009161514667847821
气死 Freq = 48  TF = 0.0009449190913028072  IDF = 9.618270779580252  TF-IDF = 0.009088487684945315
热 Freq = 57  TF = 0.0011220914209220836  IDF = 8.09470882352324  TF-IDF = 0.009083003325737719
野味 Freq = 57  TF = 0.0011220914209220836  IDF = 7.945845437608757  TF-IDF = 0.008915964997513666
世界 Freq = 57  TF = 0.0011220914209220836  IDF = 7.890350325017052  TF-IDF = 0.00885369440777141
隔离 Freq = 57  TF = 0.0011220914209220836  IDF = 7.863383277416784  TF-IDF = 0.008823434915011549
新疆 Freq = 48  TF = 0.0009449190913028072  IDF = 9.29634268469289  TF-IDF = 0.008784291682059506
山东 Freq = 54  TF = 0.0010630339777156581  IDF = 8.192006024878154  TF-IDF = 0.008708380750096861
一起 Freq = 54  TF = 0.0010630339777156581  IDF = 8.003560935465044  TF-IDF = 0.00850805721711706
在家 Freq = 53  TF = 0.0010433481633135163  IDF = 7.945845437608757  TF-IDF = 0.00829028324330218
甜 Freq = 53  TF = 0.0010433481633135163  IDF = 7.917831061439159  TF-IDF = 0.008261054495379255
心 Freq = 52  TF = 0.0010236623489113745  IDF = 8.063681927902616  TF-IDF = 0.008254487583190992
猫 Freq = 53  TF = 0.0010433481633135163  IDF = 7.890350325017052  TF-IDF = 0.008232382519506748
太好了 Freq = 33  TF = 0.00064963187527068  IDF = 12.618270779580252  TF-IDF = 0.008197230909211943
气死我 Freq = 39  TF = 0.0007677467616835308  IDF = 10.618270779580252  TF-IDF = 0.0081521430057016
气死我了 Freq = 39  TF = 0.0007677467616835308  IDF = 10.618270779580252  TF-IDF = 0.0081521430057016
江西 Freq = 48  TF = 0.0009449190913028072  IDF = 8.5738766602218  TF-IDF = 0.00810161974271913
死 Freq = 51  TF = 0.0010039765345092326  IDF = 8.033308278859096  TF-IDF = 0.008065253006453284
出门 Freq = 50  TF = 0.0009842907201070908  IDF = 8.192006024878154  TF-IDF = 0.008063315509348945
央视 Freq = 50  TF = 0.0009842907201070908  IDF = 8.158839160942955  TF-IDF = 0.008030669672962475
发 Freq = 50  TF = 0.0009842907201070908  IDF = 8.126417683250578  TF-IDF = 0.007998757513337708
求 Freq = 46  TF = 0.0009055474624985236  IDF = 8.810915857522648  TF-IDF = 0.007978702497067636
到底 Freq = 48  TF = 0.0009449190913028072  IDF = 8.29634268469289  TF-IDF = 0.007839372590756698
